ID,Cateogry,Food,Scientific_Name,"Calcium, Ca","Carbohydrate, by difference","Choline, total","Copper, Cu",Energy,"Fiber, total dietary","Fluoride, F","Folate, total","Iron, Fe","Magnesium, Mg","Manganese, Mn",Niacin,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na",Thiamin,Total lipid (fat),"Vitamin A, RAE",Vitamin B-6,Vitamin B-12,"Vitamin C, total ascorbic acid",Vitamin D (D2 + D3),Vitamin E (alpha-tocopherol),Vitamin K (phylloquinone),Water,"Zinc, Zn"
35182,American Indian/Alaska Native Foods,Acorn stew (Apache),,0.14 mg,0.092 g,0,0.0 mg,0.95 kcal,0.007 g,0,0.33 µg,0.01 mg,0.12 mg,1.4 µg,0.021 mg,0.62 mg,1.1 mg,0.068 g,0.001 mg,0.083 µg,1.3 mg,0.002 mg,0.035 g,0.0 µg,0.001 mg,0.007 µg,0.0 mg,0,0.003 mg,0.0 µg,0.798 g,0.016 mg
35193,American Indian/Alaska Native Foods,"Agave, cooked (Southwest)",,4.6 mg,0.32 g,0.088 mg,0.001 mg,1.346 kcal,0.106 g,0,0.03 µg,0.035 mg,0.39 mg,1.42 µg,0.002 mg,0.09 mg,0.59 mg,0.01 g,0.001 mg,0.002 µg,0.13 mg,0.0 mg,0.003 g,0.06 µg,0.001 mg,0.0 µg,0.003 mg,0.0 µg,0.004 mg,0.049 µg,0.654 g,0.003 mg
35194,American Indian/Alaska Native Foods,"Agave, dried (Southwest)",,7.7 mg,0.82 g,0,0.002 mg,3.41 kcal,0.156 g,0,0.07 µg,0.036 mg,2.07 mg,3.37 µg,0.009 mg,0.37 mg,7.67 mg,0.017 g,0.006 mg,0.006 µg,0.14 mg,0.0 mg,0.007 g,0.01 µg,0.002 mg,0.0 µg,0.003 mg,0.0 µg,0.008 mg,0.005 µg,0.116 g,0.121 mg
35192,American Indian/Alaska Native Foods,"Agave, raw (Southwest)",,4.17 mg,0.162 g,0,0.001 mg,0.68 kcal,0.066 g,0,0.07 µg,0.018 mg,0.55 mg,0.94 µg,0.002 mg,0.07 mg,1.27 mg,0.005 g,0.0 mg,0.004 µg,0.14 mg,0.0 mg,0.002 g,0.02 µg,0.001 mg,0.0 µg,0.04 mg,0.0 µg,0.002 mg,0.053 µg,0.818 g,0.002 mg
35015,American Indian/Alaska Native Foods,"Blackberries, wild, raw (Alaska Native)",Rubus spp.,0.05 mg,0.098 g,0,0.002 mg,0.523 kcal,0.032 g,0,0.11 µg,0.002 mg,0.04 mg,2.87 µg,0.003 mg,0.11 mg,0.75 mg,0.008 g,0.001 mg,0,0.06 mg,0.001 mg,0.011 g,0.05 µg,0.0 mg,0.0 µg,0.047 mg,0,0.009 mg,0.059 µg,0.88 g,0.002 mg
35017,American Indian/Alaska Native Foods,"Blueberries, wild, frozen (Alaska Native)",Vaccinium alaskanese and Ovalifolium,0.15 mg,0.104 g,0,0,0.44 kcal,0,0,0,0.011 mg,0,0,0.004 mg,0,0,0.007 g,0.001 mg,0,0,0.0 mg,0.0 g,0,0,0,0.022 mg,0,0,0,0.887 g,0
35155,American Indian/Alaska Native Foods,"Blueberries, wild, raw (Alaska Native)",Vaccinium alaskaenese,0.13 mg,0.123 g,0,0.0 mg,0.61 kcal,0.026 g,0,0.33 µg,0.004 mg,0.07 mg,20.0 µg,0.006 mg,0.29 mg,0.75 mg,0.012 g,0.004 mg,0,0.06 mg,0.001 mg,0.008 g,0.06 µg,0.0 mg,0.0 µg,0.183 mg,0.0 µg,0.017 mg,0.172 µg,0.855 g,0.002 mg
35240,American Indian/Alaska Native Foods,"Bread, blue corn, somiviki (Hopi)",,0.34 mg,0.398 g,0,0.001 mg,1.855 kcal,0.036 g,0,0,0.016 mg,0.43 mg,4.05 µg,0.006 mg,0.94 mg,1.14 mg,0.031 g,0.0 mg,0.03 µg,0.09 mg,0.0 mg,0.015 g,0.0 µg,0.002 mg,0,0,0,0.003 mg,0,0.55 g,0.008 mg
35140,American Indian/Alaska Native Foods,"Bread, kneel down (Navajo)",,0.05 mg,0.395 g,0,0.001 mg,1.95 kcal,0,0,0.98 µg,0.011 mg,0.55 mg,3.03 µg,0.025 mg,1.64 mg,3.2 mg,0.043 g,0.001 mg,0.119 µg,1.26 mg,0.001 mg,0.022 g,0,0,0,0,0,0.0 mg,0.003 µg,0.53 g,0.015 mg
35195,American Indian/Alaska Native Foods,"Cattail, Narrow Leaf Shoots (Northern Plains Indians)",,0.54 mg,0.051 g,0.237 mg,0.0 mg,0.253 kcal,0.045 g,0,0.03 µg,0.009 mg,0.63 mg,7.6 µg,0.004 mg,0.45 mg,3.09 mg,0.012 g,0.0 mg,0.006 µg,1.09 mg,0.0 mg,0.0 g,0.01 µg,0.001 mg,0,0.007 mg,0,0,0.228 µg,0.926 g,0.002 mg
