Nutrient,lower,upper,unit
calcium,1300,3000,mg
carbohydrate,465,671,g
choline,550,3000,mg
copper,0.89,8,mg
energy,2500,5000,kcal
fat,115,161,g
total_fiber,38,70,g
fluoride,3000,10000,µg
folate,400,800,µg
iron,11,45,mg
magnesium,410,760,mg
manganese,2200,9000,µg
niacin,16,30,mg
phosphorus,1250,4000,mg
potassium,3000,30000,mg
protein,77,385,g
riboflavin,1.3,6.5,mg
selenium,55,400,µg
sodium,1500,4500,mg
thiamin,1.2,50,mg
vitamin_a,900,2800,µg
vitamin_b6,1.3,80,mg
vitamin_b12,2.4,24,µg
vitamin_c,75,1800,mg
vitamin_d,15,100,µg
vitamin_e,15,800,mg
vitamin_k,75,750,µg
water,3700,10000,g
zinc,11,34,mg
